district_id,cpr,cpr_num,inside_elections,inside_elections_num,crystal_ball,crystal_ball_num,avg
AK00,Lean Democratic,3,Tilt Democratic,3,Lean Democratic,3,3
AL01,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
AL02,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
AL03,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
AL04,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
AL05,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
AL06,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
AL07,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
AR01,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
AR02,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
AR03,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
AR04,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
AZ01,Tossup,4,Lean Republican,5,Lean Republican,5,4.666666667
AZ02,Lean Republican,5,Lean Republican,5,Lean Republican,5,5
AZ03,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
AZ04,Likely Democratic,2,Likely Democratic,2,Lean Democratic,3,2.333333333
AZ05,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
AZ06,Lean Republican,5,Tilt Republican,5,Lean Republican,5,5
AZ07,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
AZ08,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
AZ09,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
CA01,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
CA02,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
CA03,Likely Republican,6,Likely Republican,6,Likely Republican,6,6
CA04,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
CA05,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
CA06,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
CA07,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
CA08,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
CA09,Likely Democratic,2,Likely Democratic,2,Lean Democratic,3,2.333333333
CA10,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
CA11,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
CA12,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
CA13,Tossup,4,Tilt Democratic,3,Tossup,4,3.666666667
CA14,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
CA15,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
CA16,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
CA17,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
CA18,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
CA19,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
CA20,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
CA21,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
CA22,Tossup,4,Tossup,4,Tossup,4,4
CA23,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
CA24,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
CA25,Solid Democratic,1,Solid Democratic,1,Likely Democratic,2,1.333333333
CA26,Solid Democratic,1,Solid Democratic,1,Likely Democratic,2,1.333333333
CA27,Tossup,4,Tilt Republican,5,Tossup,4,4.333333333
CA28,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
CA29,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
CA30,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
CA31,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
CA32,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
CA33,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
CA34,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
CA35,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
CA36,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
CA37,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
CA38,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
CA39,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
CA40,Likely Republican,6,Likely Republican,6,Likely Republican,6,6
CA41,Lean Republican,5,Solid Republican,7,Likely Republican,6,6
CA42,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
CA43,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
CA44,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
CA45,Lean Republican,5,Lean Republican,5,Lean Republican,5,5
CA46,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
CA47,Lean Democratic,3,Lean Democratic,3,Lean Democratic,3,3
CA48,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
CA49,Tossup,4,Lean Democratic,3,Lean Democratic,3,3.333333333
CA50,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
CA51,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
CA52,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
CO01,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
CO02,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
CO03,Solid Republican,7,Solid Republican,7,Likely Republican,6,6.666666667
CO04,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
CO05,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
CO06,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
CO07,Likely Democratic,2,Likely Democratic,2,Lean Democratic,3,2.333333333
CO08,Tossup,4,Tossup,4,Tossup,4,4
CT01,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
CT02,Likely Democratic,2,Solid Democratic,1,Likely Democratic,2,1.666666667
CT03,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
CT04,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
CT05,Tossup,4,Lean Democratic,3,Lean Democratic,3,3.333333333
DE00,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
FL01,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
FL02,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
FL03,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
FL04,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
FL05,Solid Republican,7,Likely Republican,6,Safe Republican,7,6.666666667
FL06,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
FL07,Solid Republican,7,Likely Republican,6,Safe Republican,7,6.666666667
FL08,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
FL09,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
FL10,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
FL11,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
FL12,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
FL13,Likely Republican,6,Likely Republican,6,Likely Republican,6,6
FL14,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
FL15,Likely Republican,6,Likely Republican,6,Likely Republican,6,6
