year,district_id,cpr,cpr_num,inside_elections,inside_elections_num,crystal_ball,crystal_ball_num,avg
2020,AK00,Lean Republican,5,Likely Republican,6,Lean Republican,5,5.333333333
2020,AL01,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,AL02,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,AL03,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,AL04,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,AL05,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,AL06,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,AL07,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,AR01,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,AR02,Tossup,4,Tossup,4,Lean Republican,5,4.333333333
2020,AR03,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,AR04,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,AZ01,Lean Democratic,3,Likely Democratic,2,Likely Democratic,2,2.333333333
2020,AZ02,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,AZ03,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,AZ04,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,AZ05,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,AZ06,Tossup,4,Tossup,4,Lean Democratic,3,3.666666667
2020,AZ07,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,AZ08,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,AZ09,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,CA01,Solid Republican,7,Solid Republican,7,Likely Republican,6,6.666666667
2020,CA02,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,CA03,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,CA04,Likely Republican,6,Solid Republican,7,Likely Republican,6,6.333333333
2020,CA05,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,CA06,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,CA07,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,CA08,Solid Republican,7,Solid Republican,7,Safe Republican,7,7
2020,CA09,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,CA10,Likely Democratic,2,Solid Democratic,1,Safe Democratic,1,1.333333333
2020,CA11,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,CA12,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
2020,CA13,Solid Democratic,1,Solid Democratic,1,Safe Democratic,1,1
